Time : 2021-08-03 17:19:59,080 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:02,080 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Use !help for commands! \ud83d\udcdc","timestamps":{}},"afk":false,"since":1628011202079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:02,080 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:05,078 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"The bot is in beta. \u23f3","timestamps":{}},"afk":false,"since":1628011205078,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:05,079 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:08,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"We hope you enjoy your experience with our bot \ud83d\udc96","timestamps":{}},"afk":false,"since":1628011208079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:08,080 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:11,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Made by MrPixelTick#0001, Hydra#4179 \ud83c\udf93","timestamps":{}},"afk":false,"since":1628011211079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:11,080 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:14,079 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Im here to help you learn code! \u2b50","timestamps":{}},"afk":false,"since":1628011214079,"status":"idle"}}" to change status
Time : 2021-08-03 17:20:14,080 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:20:14,756 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:20:14,757 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2021-08-03T17:20:14.624000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '872166991337619456', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['860157882745094175', '860157735375208479'], 'mute': False, 'joined_at': '2021-07-01T13:59:21.277000+00:00', 'hoisted_role': '860157735375208479', 'deaf': False}, 'id': '872166990540836906', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!ping', 'components': [], 'channel_id': '860798171671822349', 'author': {'username': 'MrPixelTick', 'public_flags': 256, 'id': '540585216541065226', 'discriminator': '0001', 'avatar': 'a_2f69290a50934ad63f11f3fc6fd6fa2c'}, 'attachments': [], 'guild_id': '860157634723708997'}}
Time : 2021-08-03 17:20:14,757 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:20:14,758 | Type : DEBUG | Name : discord.client | Message : Dispatching event message
Time : 2021-08-03 17:20:14,758 | Type : DEBUG | Name : discord.client | Message : Dispatching event command
Time : 2021-08-03 17:20:14,951 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:20:14,951 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2021-08-03T17:20:14.905000+00:00', 'referenced_message': None, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['871681981728030731', '871682172656963605'], 'mute': False, 'joined_at': '2021-08-02T09:12:59.544000+00:00', 'hoisted_role': '871682172656963605', 'deaf': False}, 'id': '872166991719456798', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'CodeHub | Ping', 'footer': {'text': 'Information requested by MrPixelTick', 'proxy_icon_url': 'https://images-ext-2.discordapp.net/external/LE81su_nZtRUamQ-2nRdy-2ZsxM1q8INUDz96E2Alag/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/540585216541065226/a_2f69290a50934ad63f11f3fc6fd6fa2c.gif', 'icon_url': 'https://cdn.discordapp.com/avatars/540585216541065226/a_2f69290a50934ad63f11f3fc6fd6fa2c.gif?size=1024'}, 'description': '5008ms', 'color': 6421499}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_id': '860798171671822349', 'author': {'username': 'Code Hub', 'public_flags': 0, 'id': '871677834551246888', 'discriminator': '4276', 'bot': True, 'avatar': 'a4dc9983c0394b9e85c4f47b5d9e77d2'}, 'attachments': [], 'guild_id': '860157634723708997'}}
Time : 2021-08-03 17:20:14,952 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:20:14,952 | Type : DEBUG | Name : discord.client | Message : Dispatching event message
Time : 2021-08-03 17:20:14,964 | Type : DEBUG | Name : discord.http | Message : POST https://discord.com/api/v7/channels/860798171671822349/messages with {"embed":{"footer":{"text":"Information requested by MrPixelTick","icon_url":"https://cdn.discordapp.com/avatars/540585216541065226/a_2f69290a50934ad63f11f3fc6fd6fa2c.gif?size=1024"},"color":6421499,"type":"rich","description":"5008ms","title":"CodeHub | Ping"}} has returned 200
